Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796502637, 397795, 581, 424, 551
1557796502651, 397807, 580, 424, 551
1557796502665, 397820, 579, 424, 552
1557796502677, 397834, 580, 424, 552
1557796502691, 397847, 579, 424, 552
1557796502703, 397859, 580, 424, 552
1557796502717, 397873, 580, 423, 551
1557796502730, 397886, 580, 424, 550
1557796502743, 397899, 581, 424, 551
1557796502756, 397912, 580, 424, 550
1557796502769, 397925, 580, 424, 551
1557796502782, 397938, 580, 423, 551
1557796502796, 397952, 579, 424, 551
1557796502808, 397964, 580, 425, 552
1557796502822, 397977, 580, 424, 551
1557796502835, 397990, 580, 424, 551
1557796502847, 398004, 580, 423, 551
1557796502859, 398017, 580, 424, 551
1557796502874, 398029, 580, 425, 551
1557796502887, 398043, 580, 424, 551
1557796502900, 398056, 580, 424, 551
1557796502912, 398069, 580, 425, 551
1557796502927, 398082, 580, 424, 551
1557796502939, 398095, 580, 425, 551
1557796502952, 398108, 580, 424, 551
1557796502965, 398121, 579, 424, 551
1557796502978, 398134, 580, 424, 551
1557796502991, 398147, 579, 423, 551
1557796503004, 398160, 580, 424, 551
1557796503018, 398174, 580, 424, 551
1557796503031, 398186, 579, 424, 551
1557796503044, 398199, 580, 424, 551
1557796503056, 398213, 580, 424, 551
1557796503070, 398226, 580, 424, 551
1557796503084, 398238, 581, 425, 551
1557796503096, 398252, 580, 424, 551
1557796503109, 398265, 581, 424, 551
1557796503122, 398278, 580, 423, 551
1557796503135, 398291, 580, 424, 551
1557796503149, 398304, 580, 424, 551
1557796503161, 398317, 580, 423, 551
1557796503176, 398330, 580, 424, 552
1557796503187, 398344, 580, 424, 552
1557796503200, 398356, 580, 424, 551
1557796503213, 398369, 581, 425, 551
1557796503226, 398383, 580, 424, 551
1557796503240, 398396, 580, 424, 551
1557796503253, 398408, 580, 424, 551
1557796503266, 398422, 580, 424, 551
1557796503280, 398435, 580, 424, 551
1557796503292, 398448, 580, 423, 552
1557796503304, 398460, 579, 423, 552
1557796503318, 398474, 580, 425, 552
1557796503331, 398487, 579, 424, 551
1557796503345, 398500, 580, 424, 551
1557796503357, 398514, 580, 424, 551
1557796503370, 398526, 580, 423, 551
1557796503384, 398539, 580, 425, 551
1557796503396, 398553, 580, 424, 551
1557796503410, 398566, 580, 423, 551
1557796503422, 398578, 580, 424, 552
1557796503436, 398592, 580, 425, 552
1557796503448, 398605, 579, 424, 552
1557796503461, 398618, 581, 423, 552
1557796503475, 398630, 580, 424, 551
1557796503489, 398644, 580, 425, 551
1557796503501, 398657, 580, 425, 551
1557796503515, 398670, 580, 424, 551
1557796503527, 398684, 580, 424, 552
1557796503541, 398696, 579, 424, 552
1557796503553, 398709, 580, 425, 552
1557796503566, 398723, 580, 424, 551
1557796503579, 398736, 581, 422, 550
1557796503592, 398748, 579, 424, 552
1557796503605, 398761, 579, 423, 551
1557796503619, 398775, 579, 423, 551
1557796503632, 398788, 579, 423, 552
1557796503644, 398800, 579, 423, 552
1557796503658, 398814, 580, 424, 551
1557796503671, 398827, 580, 423, 551
1557796503684, 398840, 580, 424, 551
