Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796518585, 413741, 577, 423, 554
1557796518599, 413754, 578, 423, 553
1557796518611, 413767, 578, 423, 553
1557796518624, 413779, 578, 424, 553
1557796518638, 413793, 578, 423, 553
1557796518651, 413806, 577, 423, 554
1557796518664, 413819, 577, 423, 554
1557796518677, 413833, 577, 423, 554
1557796518690, 413845, 577, 423, 554
1557796518703, 413858, 577, 422, 554
1557796518715, 413872, 577, 423, 554
1557796518729, 413885, 577, 424, 554
1557796518742, 413897, 578, 423, 554
1557796518755, 413911, 578, 423, 553
1557796518768, 413924, 578, 424, 554
1557796518782, 413937, 577, 423, 554
1557796518794, 413949, 577, 423, 554
1557796518807, 413963, 577, 423, 554
1557796518821, 413976, 577, 423, 554
1557796518834, 413989, 577, 423, 553
1557796518847, 414002, 578, 423, 553
1557796518859, 414015, 578, 423, 553
1557796518873, 414028, 578, 423, 554
1557796518885, 414042, 577, 423, 554
1557796518899, 414055, 577, 424, 554
1557796518913, 414067, 578, 423, 554
1557796518925, 414081, 577, 423, 554
1557796518938, 414094, 577, 424, 554
1557796518950, 414107, 577, 423, 554
1557796518965, 414119, 577, 423, 554
1557796518977, 414133, 578, 423, 553
1557796518990, 414146, 578, 423, 553
1557796519003, 414159, 577, 423, 554
1557796519018, 414172, 578, 423, 554
1557796519030, 414185, 577, 423, 554
1557796519043, 414198, 577, 424, 554
1557796519055, 414212, 577, 423, 555
1557796519069, 414224, 576, 424, 554
1557796519082, 414237, 578, 423, 554
1557796519095, 414251, 577, 423, 554
1557796519108, 414264, 577, 424, 554
1557796519122, 414277, 578, 423, 554
1557796519134, 414289, 577, 423, 553
1557796519147, 414303, 578, 424, 554
1557796519161, 414316, 577, 423, 554
1557796519174, 414329, 577, 423, 554
1557796519186, 414342, 578, 423, 554
1557796519199, 414355, 577, 424, 554
1557796519213, 414368, 577, 423, 554
1557796519226, 414382, 577, 423, 554
1557796519239, 414394, 577, 424, 554
1557796519251, 414407, 578, 424, 554
1557796519266, 414420, 577, 422, 553
1557796519278, 414434, 578, 421, 552
1557796519291, 414446, 579, 420, 552
1557796519304, 414459, 578, 419, 552
1557796519317, 414473, 579, 420, 553
1557796519330, 414486, 576, 422, 555
1557796519343, 414499, 574, 424, 557
1557796519357, 414512, 571, 430, 557
1557796519370, 414525, 571, 425, 561
1557796519383, 414538, 562, 417, 564
1557796519395, 414552, 563, 411, 573
1557796519408, 414564, 554, 406, 584
1557796519421, 414577, 551, 398, 594
1557796519435, 414590, 551, 394, 599
1557796519447, 414604, 556, 398, 598
1557796519462, 414616, 563, 403, 593
1557796519474, 414629, 572, 403, 587
1557796519486, 414643, 579, 404, 579
1557796519500, 414656, 586, 410, 574
