1557796116254, 11420, 508, 502, 618
1557796116265, 11432, 507, 502, 619
1557796116279, 11446, 508, 502, 618
1557796116292, 11459, 508, 502, 618
1557796116305, 11471, 508, 502, 618
1557796116318, 11485, 507, 502, 618
1557796116332, 11498, 507, 502, 618
1557796116346, 11511, 507, 502, 618
1557796116357, 11524, 507, 502, 618
1557796116370, 11537, 507, 502, 618
1557796116383, 11550, 508, 502, 618
1557796116398, 11564, 507, 502, 618
1557796116409, 11576, 507, 502, 618
1557796116422, 11589, 508, 502, 618
1557796116436, 11602, 507, 502, 618
1557796116449, 11615, 508, 502, 618
1557796116461, 11628, 507, 502, 618
1557796116475, 11641, 508, 502, 618
1557796116490, 11655, 507, 502, 618
1557796116500, 11667, 508, 502, 618
1557796116514, 11680, 507, 502, 618
1557796116527, 11694, 507, 502, 618
1557796116540, 11707, 508, 502, 618
1557796116558, 11719, 507, 502, 619
1557796116566, 11732, 507, 502, 618
1557796116579, 11746, 507, 502, 618
1557796116592, 11758, 507, 502, 618
1557796116605, 11771, 508, 502, 618
1557796116617, 11785, 507, 502, 618
1557796116632, 11798, 507, 502, 618
1557796116644, 11810, 507, 502, 618
1557796116657, 11824, 507, 502, 619
1557796116670, 11837, 508, 502, 618
1557796116683, 11850, 507, 502, 618
1557796116696, 11863, 507, 502, 618
1557796116710, 11876, 508, 502, 618
1557796116723, 11889, 508, 502, 618
1557796116734, 11901, 508, 502, 618
1557796116748, 11915, 507, 502, 618
1557796116761, 11928, 508, 502, 618
1557796116774, 11941, 508, 502, 618
1557796116788, 11954, 508, 502, 618
1557796116801, 11967, 508, 502, 618
1557796116814, 11980, 507, 502, 618
1557796116826, 11993, 507, 502, 618
1557796116840, 12006, 508, 502, 618
1557796116853, 12019, 507, 502, 618
1557796116865, 12033, 507, 502, 618
1557796116878, 12045, 507, 502, 618
1557796116892, 12058, 507, 502, 618
1557796116905, 12071, 508, 502, 618
1557796116918, 12085, 507, 502, 618
1557796116930, 12097, 507, 502, 618
1557796116944, 12110, 508, 502, 618
1557796116958, 12124, 507, 502, 618
1557796116971, 12136, 507, 502, 618
1557796116982, 12149, 507, 502, 618
1557796116996, 12163, 507, 502, 618
1557796117010, 12176, 507, 502, 618
1557796117023, 12188, 507, 502, 618
1557796117036, 12201, 507, 502, 618
1557796117049, 12215, 507, 502, 619
1557796117062, 12228, 507, 502, 618
1557796117074, 12240, 508, 502, 618
1557796117088, 12254, 508, 502, 618
1557796117101, 12267, 508, 502, 618
1557796117113, 12279, 508, 502, 618
1557796117126, 12293, 507, 502, 618
1557796117140, 12306, 508, 502, 618
1557796117152, 12319, 507, 502, 618
1557796117165, 12332, 508, 502, 618
1557796117178, 12345, 508, 502, 618
1557796117192, 12358, 507, 502, 618
1557796117204, 12370, 507, 502, 618
1557796117217, 12384, 508, 502, 618
1557796117230, 12397, 507, 502, 618
1557796117244, 12410, 508, 502, 618
1557796117257, 12423, 507, 502, 618
1557796117270, 12436, 508, 502, 618
1557796117283, 12449, 508, 502, 618
1557796117296, 12463, 507, 502, 618
1557796117309, 12475, 508, 502, 618
1557796117322, 12488, 507, 502, 618
1557796117335, 12502, 507, 502, 618
1557796117348, 12514, 507, 502, 619
1557796117361, 12527, 507, 502, 618
1557796117374, 12540, 508, 502, 618
1557796117387, 12554, 508, 502, 618
1557796117400, 12566, 507, 502, 618
1557796117413, 12579, 507, 502, 618
1557796117426, 12593, 507, 502, 618
1557796117439, 12606, 507, 502, 618
1557796117453, 12618, 508, 502, 618
1557796117466, 12632, 508, 502, 618
1557796117478, 12645, 508, 502, 618
1557796117491, 12657, 507, 502, 618
1557796117503, 12670, 508, 502, 618
1557796117516, 12684, 508, 502, 618
1557796117530, 12697, 507, 502, 618
1557796117544, 12709, 507, 502, 618
1557796117555, 12723, 508, 502, 618
1557796117570, 12736, 507, 502, 618
1557796117583, 12748, 507, 502, 618
