Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796490809, 385966, 611, 515, 499
1557796490822, 385978, 612, 516, 501
1557796490835, 385991, 611, 518, 506
1557796490849, 386004, 613, 520, 507
1557796490861, 386018, 615, 520, 511
1557796490875, 386030, 618, 519, 512
1557796490887, 386043, 622, 515, 512
1557796490899, 386057, 625, 513, 511
1557796490913, 386070, 625, 511, 512
1557796490926, 386082, 625, 510, 511
1557796490939, 386096, 625, 510, 509
1557796490953, 386109, 626, 509, 505
1557796490966, 386122, 628, 508, 502
1557796490979, 386136, 628, 507, 501
1557796490992, 386148, 630, 508, 497
1557796491005, 386161, 630, 505, 496
1557796491018, 386174, 629, 506, 497
1557796491031, 386188, 626, 505, 498
1557796491044, 386200, 623, 504, 500
1557796491057, 386213, 620, 500, 499
1557796491072, 386227, 619, 497, 499
1557796491084, 386240, 619, 497, 498
1557796491095, 386252, 618, 498, 500
1557796491108, 386266, 617, 499, 502
1557796491122, 386279, 616, 499, 504
1557796491136, 386292, 613, 497, 509
1557796491149, 386305, 611, 495, 514
1557796491162, 386318, 611, 495, 519
1557796491174, 386331, 612, 493, 523
1557796491188, 386344, 613, 489, 526
1557796491201, 386358, 616, 482, 531
1557796491216, 386370, 615, 474, 536
1557796491228, 386383, 613, 469, 541
1557796491240, 386397, 612, 468, 546
1557796491253, 386410, 610, 471, 547
1557796491266, 386422, 612, 471, 547
1557796491280, 386436, 616, 467, 547
1557796491292, 386449, 618, 462, 547
1557796491305, 386462, 620, 453, 549
1557796491319, 386475, 620, 446, 554
1557796491331, 386488, 614, 442, 560
1557796491345, 386501, 608, 444, 564
1557796491358, 386514, 605, 449, 565
1557796491371, 386527, 606, 453, 565
1557796491383, 386540, 607, 450, 564
1557796491396, 386553, 606, 446, 563
1557796491411, 386567, 608, 437, 562
1557796491424, 386580, 603, 425, 568
1557796491437, 386592, 593, 415, 577
1557796491449, 386606, 582, 411, 583
1557796491462, 386619, 578, 419, 584
1557796491476, 386632, 582, 432, 578
1557796491488, 386644, 585, 439, 571
1557796491502, 386658, 590, 437, 563
1557796491515, 386671, 589, 436, 559
1557796491527, 386684, 592, 438, 554
1557796491541, 386697, 586, 438, 556
1557796491553, 386710, 576, 431, 564
1557796491567, 386723, 568, 423, 567
1557796491580, 386737, 568, 423, 566
1557796491594, 386749, 572, 422, 561
1557796491607, 386762, 574, 417, 556
1557796491619, 386776, 593, 403, 560
1557796491632, 386789, 683, 323, 576
1557796491645, 386801, 585, 319, 537
1557796491660, 386814, 582, 397, 566
1557796491671, 386828, 567, 440, 563
1557796491683, 386841, 563, 450, 566
1557796491698, 386854, 565, 444, 565
1557796491711, 386867, 567, 430, 565
1557796491724, 386880, 569, 416, 567
1557796491736, 386893, 567, 411, 568
1557796491750, 386907, 568, 413, 568
1557796491763, 386919, 568, 418, 566
1557796491776, 386932, 569, 425, 563
1557796491789, 386946, 572, 426, 562
1557796491803, 386959, 573, 423, 559
1557796491816, 386971, 575, 422, 556
1557796491828, 386984, 579, 420, 553
1557796491842, 386998, 581, 421, 550
1557796491855, 387011, 582, 423, 547
1557796491867, 387023, 583, 424, 546
1557796491881, 387037, 583, 425, 546
1557796491894, 387050, 583, 425, 548
1557796491906, 387063, 581, 424, 551
1557796491919, 387077, 579, 425, 553
1557796491933, 387089, 577, 424, 556
1557796491946, 387102, 575, 424, 557
1557796491959, 387116, 575, 424, 559
1557796491972, 387129, 575, 423, 559
1557796491985, 387141, 574, 423, 558
1557796491999, 387154, 576, 424, 558
1557796492012, 387168, 576, 424, 557
1557796492024, 387181, 577, 425, 555
1557796492038, 387193, 579, 426, 554
1557796492050, 387207, 580, 425, 552
1557796492063, 387220, 582, 425, 551
1557796492077, 387233, 583, 425, 550
1557796492089, 387246, 583, 425, 548
1557796492103, 387259, 584, 426, 547
1557796492116, 387272, 584, 426, 547
1557796492128, 387286, 584, 426, 547
1557796492143, 387299, 584, 424, 548
1557796492155, 387311, 582, 424, 549
1557796492169, 387324, 581, 425, 551
1557796492181, 387338, 580, 424, 553
1557796492195, 387351, 579, 425, 554
1557796492206, 387363, 579, 425, 554
1557796492221, 387377, 578, 425, 554
1557796492234, 387390, 579, 425, 554
1557796492246, 387403, 580, 424, 553
1557796492259, 387416, 580, 425, 552
1557796492273, 387429, 581, 425, 551
1557796492285, 387442, 581, 425, 551
1557796492299, 387456, 581, 426, 551
1557796492312, 387468, 581, 425, 552
1557796492326, 387481, 581, 425, 552
1557796492339, 387494, 580, 425, 552
1557796492351, 387508, 580, 425, 552
1557796492364, 387521, 580, 425, 553
1557796492378, 387533, 580, 425, 553
