Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796467110, 362267, 589, 426, 537
1557796467124, 362280, 589, 426, 538
1557796467137, 362294, 588, 426, 538
1557796467149, 362307, 588, 425, 539
1557796467163, 362319, 588, 424, 539
1557796467176, 362333, 588, 425, 539
1557796467189, 362346, 589, 427, 539
1557796467202, 362359, 588, 426, 537
1557796467215, 362373, 589, 426, 538
1557796467229, 362385, 589, 426, 538
1557796467243, 362398, 588, 426, 538
1557796467254, 362412, 588, 426, 539
1557796467267, 362425, 588, 425, 539
1557796467281, 362437, 588, 425, 539
1557796467294, 362450, 588, 426, 539
1557796467306, 362464, 588, 426, 538
1557796467320, 362477, 589, 426, 538
1557796467333, 362489, 589, 426, 537
1557796467345, 362503, 589, 426, 537
1557796467359, 362516, 589, 427, 538
1557796467372, 362529, 588, 425, 538
1557796467384, 362542, 588, 426, 539
1557796467398, 362555, 587, 426, 539
1557796467411, 362568, 587, 425, 539
1557796467424, 362582, 587, 425, 539
1557796467437, 362595, 588, 425, 538
1557796467451, 362607, 588, 426, 538
1557796467463, 362620, 589, 426, 537
1557796467476, 362634, 589, 425, 538
1557796467490, 362647, 588, 426, 538
1557796467502, 362659, 588, 426, 539
1557796467517, 362673, 588, 426, 539
1557796467529, 362686, 588, 426, 539
1557796467541, 362699, 589, 426, 539
1557796467556, 362712, 589, 426, 539
1557796467568, 362725, 589, 426, 539
1557796467582, 362738, 588, 425, 538
1557796467594, 362752, 587, 424, 539
1557796467607, 362764, 587, 422, 539
1557796467620, 362777, 588, 416, 539
1557796467633, 362790, 587, 415, 541
1557796467647, 362804, 586, 418, 544
1557796467660, 362816, 586, 420, 543
1557796467672, 362829, 584, 415, 545
1557796467686, 362843, 586, 408, 546
1557796467699, 362856, 583, 408, 550
1557796467713, 362869, 576, 406, 560
1557796467725, 362882, 568, 401, 570
1557796467738, 362895, 570, 389, 576
1557796467751, 362908, 571, 383, 580
1557796467765, 362921, 575, 385, 581
1557796467777, 362934, 579, 392, 582
1557796467789, 362947, 586, 396, 578
1557796467804, 362960, 594, 401, 570
1557796467816, 362974, 603, 404, 564
1557796467829, 362986, 610, 404, 560
1557796467842, 362999, 612, 404, 558
1557796467855, 363013, 614, 406, 556
1557796467868, 363026, 616, 407, 555
1557796467881, 363038, 615, 407, 554
1557796467895, 363052, 612, 411, 556
1557796467909, 363065, 610, 414, 554
1557796467921, 363078, 609, 417, 551
1557796467934, 363091, 608, 423, 550
1557796467946, 363104, 608, 428, 547
1557796467961, 363117, 610, 434, 543
1557796467972, 363130, 609, 437, 543
1557796467987, 363144, 605, 443, 545
1557796467999, 363156, 601, 449, 545
1557796468012, 363169, 601, 456, 543
1557796468025, 363183, 599, 459, 543
1557796468039, 363196, 595, 462, 540
1557796468051, 363208, 594, 468, 535
1557796468065, 363222, 600, 474, 528
1557796468077, 363235, 605, 477, 522
1557796468092, 363248, 610, 479, 517
1557796468104, 363260, 606, 486, 515
1557796468117, 363274, 604, 493, 516
1557796468130, 363287, 601, 496, 512
1557796468143, 363300, 601, 498, 509
1557796468157, 363314, 601, 500, 505
1557796468170, 363326, 602, 502, 500
1557796468182, 363339, 604, 506, 499
1557796468195, 363353, 603, 511, 495
1557796468209, 363366, 604, 513, 493
1557796468221, 363378, 606, 511, 491
1557796468234, 363392, 612, 509, 491
1557796468248, 363405, 614, 507, 494
1557796468261, 363418, 615, 505, 501
1557796468275, 363430, 615, 499, 506
1557796468286, 363444, 618, 493, 507
1557796468300, 363457, 623, 494, 509
1557796468312, 363470, 625, 498, 512
1557796468326, 363484, 625, 504, 514
1557796468339, 363496, 623, 510, 516
1557796468352, 363509, 622, 511, 517
1557796468366, 363523, 620, 508, 519
1557796468378, 363536, 620, 508, 521
1557796468391, 363548, 621, 508, 521
1557796468405, 363561, 622, 509, 520
1557796468418, 363575, 624, 509, 519
1557796468431, 363588, 625, 510, 518
1557796468444, 363600, 623, 508, 518
1557796468456, 363614, 624, 509, 516
1557796468470, 363627, 625, 510, 512
1557796468483, 363640, 627, 509, 507
1557796468496, 363653, 632, 509, 503
1557796468510, 363666, 629, 509, 503
1557796468522, 363679, 631, 511, 503
1557796468535, 363693, 632, 510, 507
1557796468549, 363705, 631, 506, 511
1557796468561, 363718, 634, 507, 513
1557796468574, 363731, 633, 505, 515
1557796468588, 363745, 626, 503, 520
1557796468600, 363758, 625, 506, 519
1557796468613, 363770, 626, 505, 517
1557796468627, 363784, 627, 507, 515
1557796468640, 363797, 625, 510, 514
1557796468652, 363810, 621, 512, 513
1557796468666, 363823, 619, 513, 513
1557796468680, 363836, 618, 512, 513
1557796468692, 363849, 619, 511, 515
1557796468705, 363863, 620, 511, 515
1557796468718, 363875, 623, 511, 517
1557796468733, 363888, 624, 511, 517
1557796468744, 363901, 626, 511, 515
1557796468758, 363915, 627, 511, 515
1557796468770, 363928, 625, 510, 515
1557796468783, 363940, 625, 510, 513
1557796468797, 363954, 623, 510, 513
1557796468809, 363967, 623, 511, 512
1557796468823, 363980, 621, 512, 512
1557796468836, 363993, 620, 512, 512
1557796468849, 364006, 621, 510, 512
1557796468862, 364019, 623, 510, 513
1557796468876, 364033, 624, 508, 513
1557796468888, 364045, 622, 507, 514
1557796468902, 364058, 623, 506, 515
1557796468914, 364071, 621, 508, 515
1557796468928, 364085, 619, 509, 516
1557796468941, 364097, 621, 512, 515
1557796468953, 364110, 623, 515, 511
1557796468967, 364124, 624, 515, 510
1557796468979, 364137, 624, 514, 510
1557796468993, 364150, 624, 512, 511
1557796469005, 364163, 622, 509, 513
1557796469019, 364176, 620, 506, 515
1557796469032, 364189, 620, 505, 516
1557796469044, 364203, 619, 505, 515
1557796469058, 364215, 618, 506, 516
1557796469072, 364228, 619, 507, 516
1557796469085, 364241, 620, 508, 515
1557796469097, 364255, 621, 510, 515
1557796469110, 364267, 620, 512, 515
1557796469125, 364280, 620, 513, 516
1557796469136, 364294, 619, 511, 517
1557796469149, 364307, 620, 508, 517
1557796469163, 364319, 620, 505, 518
1557796469178, 364333, 620, 502, 519
1557796469189, 364346, 621, 502, 518
1557796469202, 364359, 621, 503, 519
1557796469215, 364372, 621, 502, 521
1557796469229, 364385, 622, 500, 524
1557796469241, 364398, 623, 497, 526
1557796469254, 364411, 622, 495, 529
1557796469267, 364425, 623, 494, 532
1557796469280, 364437, 623, 492, 533
1557796469294, 364450, 622, 491, 532
1557796469307, 364464, 623, 491, 532
1557796469320, 364477, 625, 490, 529
1557796469332, 364489, 625, 490, 527
1557796469346, 364503, 625, 488, 527
1557796469360, 364516, 624, 485, 526
1557796469372, 364529, 625, 484, 523
1557796469386, 364541, 626, 482, 519
1557796469398, 364555, 628, 482, 515
1557796469411, 364568, 630, 483, 511
1557796469423, 364581, 631, 486, 507
1557796469437, 364595, 631, 489, 505
1557796469450, 364607, 626, 490, 506
1557796469463, 364620, 619, 490, 510
1557796469477, 364634, 617, 491, 515
1557796469489, 364647, 616, 489, 518
1557796469503, 364659, 618, 488, 521
1557796469516, 364673, 618, 487, 524
1557796469529, 364686, 616, 483, 525
1557796469542, 364699, 613, 478, 527
1557796469557, 364711, 611, 472, 530
1557796469568, 364725, 607, 469, 535
1557796469581, 364738, 606, 471, 539
1557796469593, 364751, 608, 471, 541
1557796469607, 364764, 610, 465, 542
1557796469621, 364777, 607, 460, 542
1557796469634, 364790, 605, 462, 542
1557796469646, 364804, 604, 464, 540
1557796469660, 364817, 603, 456, 544
1557796469673, 364829, 601, 444, 546
1557796469685, 364843, 603, 435, 549
1557796469698, 364856, 600, 432, 551
1557796469713, 364869, 598, 431, 552
1557796469725, 364881, 599, 432, 552
1557796469738, 364895, 602, 434, 548
1557796469751, 364908, 608, 431, 546
1557796469764, 364921, 608, 420, 551
1557796469777, 364934, 599, 411, 558
1557796469789, 364947, 594, 411, 564
1557796469803, 364960, 590, 417, 565
1557796469817, 364974, 590, 421, 563
1557796469829, 364986, 597, 420, 555
1557796469843, 364999, 596, 422, 551
1557796469856, 365012, 607, 422, 547
1557796469868, 365026, 605, 416, 543
1557796469881, 365039, 601, 415, 544
1557796469895, 365051, 597, 416, 545
1557796469908, 365065, 592, 419, 546
1557796469920, 365078, 587, 419, 544
1557796469936, 365091, 589, 411, 541
1557796469948, 365104, 599, 395, 540
1557796469960, 365117, 613, 378, 541
1557796469972, 365130, 603, 372, 540
1557796469985, 365144, 583, 389, 547
1557796469999, 365156, 569, 415, 556
1557796470012, 365169, 564, 428, 557
1557796470026, 365182, 564, 433, 555
1557796470039, 365196, 564, 431, 553
1557796470052, 365208, 565, 425, 552
1557796470064, 365221, 567, 416, 551
1557796470079, 365235, 575, 402, 545
1557796470091, 365248, 582, 389, 535
1557796470103, 365261, 581, 390, 528
1557796470117, 365274, 581, 402, 525
1557796470131, 365287, 582, 413, 525
1557796470143, 365300, 583, 419, 526
1557796470155, 365314, 584, 420, 527
1557796470169, 365326, 584, 420, 531
1557796470183, 365339, 585, 421, 534
1557796470195, 365352, 585, 423, 537
1557796470209, 365366, 585, 425, 537
1557796470221, 365378, 585, 426, 538
1557796470235, 365391, 585, 426, 537
1557796470247, 365405, 586, 425, 538
1557796470261, 365418, 585, 425, 537
1557796470275, 365430, 586, 423, 536
